lat,lon,totnpp,elev,ele_std,air_t,ppt,sand,silt,clay,crop,corn,soybean,forest,other_cover,biome,methods,year,source,type,id
38.25,-89.75,494,138.3,13.6,14.1,907,37,33,30,64,18,25,6,30,crop,NASS inventory/allometric,1992,prince,cell,1
38.25,-88.25,521,126.5,11.2,13.1,913,37,33,30,67,24,28,5,28,crop,NASS inventory/allometric,1992,prince,cell,2
38.25,-87.75,634,133.8,12.9,13.1,926,37,33,30,70,33,27,4,26,crop,NASS inventory/allometric,1992,prince,cell,3
38.75,-89.75,545,156.2,14.5,13.7,872,37,33,30,62,18,25,3,35,crop,NASS inventory/allometric,1992,prince,cell,4
38.75,-89.25,519,150,12.5,13.3,815,37,33,30,66,17,26,5,29,crop,NASS inventory/allometric,1992,prince,cell,5
38.75,-88.75,469,163.7,11.4,12.9,867,37,33,30,60,17,26,6,34,crop,NASS inventory/allometric,1992,prince,cell,6
38.75,-88.25,494,144.3,13.1,12.7,889,37,33,30,70,25,31,5,25,crop,NASS inventory/allometric,1992,prince,cell,7
38.75,-87.75,585,142.2,12.9,12.6,931,37,33,30,70,31,30,4,26,crop,NASS inventory/allometric,1992,prince,cell,8
39.25,-90.25,620,175.7,17,12.5,871,37,33,30,61,26,25,8,31,crop,NASS inventory/allometric,1992,prince,cell,9
39.25,-89.75,642,192.1,9.7,12.7,880,37,33,30,69,29,30,5,26,crop,NASS inventory/allometric,1992,prince,cell,10
39.25,-89.25,630,190.6,13.8,12.7,871,37,33,30,73,30,32,4,23,crop,NASS inventory/allometric,1992,prince,cell,11
39.25,-88.75,606,184.6,14,12.6,907,37,33,30,69,29,29,5,26,crop,NASS inventory/allometric,1992,prince,cell,12
39.25,-88.25,609,185.5,18.7,12.4,950,37,33,30,70,30,32,5,25,crop,NASS inventory/allometric,1992,prince,cell,13
39.75,-90.75,592,187.6,33.4,11.7,920,37,33,30,53,24,20,13,34,crop,NASS inventory/allometric,1992,prince,cell,14
39.75,-90.25,645,181.5,18.1,11.4,839,37,33,30,68,33,29,7,25,crop,NASS inventory/allometric,1992,prince,cell,15
39.75,-89.75,692,184.6,11.1,11.9,803,37,33,30,76,37,35,2,22,crop,NASS inventory/allometric,1992,prince,cell,16
39.75,-89.25,702,184.6,8.9,12.1,976,37,33,30,81,40,39,1,18,crop,NASS inventory/allometric,1992,prince,cell,17
39.75,-88.75,712,205.9,8.5,12,1129,37,33,30,81,40,38,1,18,crop,NASS inventory/allometric,1992,prince,cell,18
39.75,-88.25,689,203.8,5.9,11.8,1035,37,33,30,84,43,39,2,14,crop,NASS inventory/allometric,1992,prince,cell,19
40.25,-90.75,602,189.7,19.5,11.1,925,37,33,30,62,28,27,11,27,crop,NASS inventory/allometric,1992,prince,cell,20
40.25,-90.25,615,166.8,26.2,11.1,849,37,33,30,57,28,24,10,33,crop,NASS inventory/allometric,1992,prince,cell,21
40.25,-89.75,652,159.3,14.3,11.2,828,37,33,30,68,35,31,3,29,crop,NASS inventory/allometric,1992,prince,cell,22
40.25,-89.25,676,191.3,18.8,11.3,991,37,33,30,82,43,38,1,17,crop,NASS inventory/allometric,1992,prince,cell,23
40.25,-88.75,677,226.4,18.7,11.1,1051,37,33,30,86,44,41,1,13,crop,NASS inventory/allometric,1992,prince,cell,24
40.25,-88.25,685,223.2,11.8,11,1098,37,33,30,88,45,42,1,11,crop,NASS inventory/allometric,1992,prince,cell,25
40.25,-87.75,663,210.4,13.3,11.1,1108,37,33,30,77,39,36,2,21,crop,NASS inventory/allometric,1992,prince,cell,26
40.25,-87.25,642,207.5,21.1,11.1,1101,37,33,30,72,39,30,6,22,crop,NASS inventory/allometric,1992,prince,cell,27
40.25,-86.75,665,234.4,27.7,11,1125,37,33,30,73,40,30,4,23,crop,NASS inventory/allometric,1992,prince,cell,28
40.25,-86.25,647,267.7,16.6,10.8,1206,37,33,30,74,38,33,3,23,crop,NASS inventory/allometric,1992,prince,cell,29
40.25,-85.75,618,261,10.6,10.5,1129,37,33,30,66,32,31,3,31,crop,NASS inventory/allometric,1992,prince,cell,30
40.25,-85.25,570,298.8,27.4,10,1027,37,33,30,63,27,30,4,33,crop,NASS inventory/allometric,1992,prince,cell,31
40.25,-84.75,587,314.2,24.2,9.8,1030,37,33,30,69,27,30,4,27,crop,NASS inventory/allometric,1992,prince,cell,32
40.25,-84.25,597,302.2,18.2,10,1019,37,33,30,64,25,26,4,32,crop,NASS inventory/allometric,1992,prince,cell,33
40.25,-83.75,604,344,29.4,9.7,1109,37,33,30,58,27,21,4,38,crop,NASS inventory/allometric,1992,prince,cell,34
40.75,-91.25,621,199.5,22.7,10.8,977,37,33,30,57,29,22,7,36,crop,NASS inventory/allometric,1992,prince,cell,35
40.75,-90.75,665,214.1,19.2,10.7,970,37,33,30,72,40,27,5,23,crop,NASS inventory/allometric,1992,prince,cell,36
40.75,-90.25,627,205.9,21.3,10.6,948,37,33,30,63,32,25,8,29,crop,NASS inventory/allometric,1992,prince,cell,37
40.75,-89.75,622,191.1,28.1,10.5,886,37,33,30,58,30,23,5,37,crop,NASS inventory/allometric,1992,prince,cell,38
40.75,-89.25,649,213.6,24,10.5,864,37,33,30,77,40,34,3,20,crop,NASS inventory/allometric,1992,prince,cell,39
40.75,-88.75,660,218.2,15.6,10.4,876,37,33,30,88,45,42,1,11,crop,NASS inventory/allometric,1992,prince,cell,40
40.75,-88.25,637,217.4,15.4,10.3,898,37,33,30,87,44,42,1,12,crop,NASS inventory/allometric,1992,prince,cell,41
40.75,-87.75,637,202,10.3,10.5,917,37,33,30,86,45,40,1,13,crop,NASS inventory/allometric,1992,prince,cell,42
40.75,-87.25,646,219.1,14.4,10.2,991,37,33,30,80,45,34,3,17,crop,NASS inventory/allometric,1992,prince,cell,43
